Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
1325317920,4.39,4.39,4.39,4.39,0.45558087,2.0000000193,4.39
1325350680,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325350740,4.5,4.57,4.5,4.57,37.86229723,171.38033754,4.5264114983
1325350800,4.58,4.58,4.58,4.58,9,41.22,4.58
